,day,day_str,hour,hour_str,is_eight,is_eighteen,is_nine,is_seventeen,minute,minute_str,vehicle_model0,vehicle_model1,vehicle_model2,vehicle_model3,vehicle_model4,vehicle_model5,volume0,volume1,volume2,volume3,volume4,volume5,week,week_str,weekend,y,volume5_0,volume5_1,volume5_2,volume5_3
152,28,28D,5,5H,0,0,0,0,0,0M,29.0,10.0,16.0,22.0,27.0,30.0,14.0,5.0,12.0,19.0,21.0,17.0,2,2W,0,31.0,22.0,16.0,23.0,18.0
153,28,28D,5,5H,0,0,0,0,20,20M,10.0,16.0,22.0,27.0,30.0,24.0,5.0,12.0,19.0,21.0,17.0,15.0,2,2W,0,31.0,19.0,31.0,19.0,18.0
154,28,28D,5,5H,0,0,0,0,40,40M,16.0,22.0,27.0,30.0,24.0,48.0,12.0,19.0,21.0,17.0,15.0,31.0,2,2W,0,31.0,26.0,35.0,34.0,31.0
155,28,28D,6,6H,0,0,0,0,0,0M,22.0,27.0,30.0,24.0,48.0,53.0,19.0,21.0,17.0,15.0,31.0,31.0,2,2W,0,35.0,29.0,30.0,29.0,28.0
156,28,28D,6,6H,0,0,0,0,20,20M,27.0,30.0,24.0,48.0,53.0,47.0,21.0,17.0,15.0,31.0,31.0,31.0,2,2W,0,62.0,34.0,33.0,38.0,30.0
157,28,28D,6,6H,0,0,0,0,40,40M,30.0,24.0,48.0,53.0,47.0,63.0,17.0,15.0,31.0,31.0,31.0,35.0,2,2W,0,52.0,45.0,41.0,22.0,36.0
158,28,28D,7,7H,0,0,0,0,0,0M,24.0,48.0,53.0,47.0,63.0,129.0,15.0,31.0,31.0,31.0,35.0,62.0,2,2W,0,79.0,63.0,47.0,63.0,50.0
159,28,28D,7,7H,0,0,0,0,20,20M,48.0,53.0,47.0,63.0,129.0,78.0,31.0,31.0,31.0,35.0,62.0,52.0,2,2W,0,69.0,79.0,60.0,63.0,71.0
160,28,28D,7,7H,0,0,0,0,40,40M,53.0,47.0,63.0,129.0,78.0,105.0,31.0,31.0,35.0,62.0,52.0,79.0,2,2W,0,108.0,74.0,65.0,86.0,77.0
161,28,28D,8,8H,1,0,0,0,0,0M,47.0,63.0,129.0,78.0,105.0,101.0,31.0,35.0,62.0,52.0,79.0,69.0,2,2W,0,95.0,98.0,81.0,100.0,94.0
162,28,28D,8,8H,1,0,0,0,20,20M,63.0,129.0,78.0,105.0,101.0,143.0,35.0,62.0,52.0,79.0,69.0,108.0,2,2W,0,105.0,113.0,65.0,93.0,99.0
163,28,28D,8,8H,1,0,0,0,40,40M,129.0,78.0,105.0,101.0,143.0,118.0,62.0,52.0,79.0,69.0,108.0,95.0,2,2W,0,118.0,118.0,98.0,110.0,100.0
164,28,28D,9,9H,0,0,1,0,0,0M,78.0,105.0,101.0,143.0,118.0,120.0,52.0,79.0,69.0,108.0,95.0,105.0,2,2W,0,94.0,116.0,96.0,127.0,105.0
165,28,28D,9,9H,0,0,1,0,20,20M,105.0,101.0,143.0,118.0,120.0,133.0,79.0,69.0,108.0,95.0,105.0,118.0,2,2W,0,109.0,125.0,105.0,112.0,119.0
166,28,28D,9,9H,0,0,1,0,40,40M,101.0,143.0,118.0,120.0,133.0,124.0,69.0,108.0,95.0,105.0,118.0,94.0,2,2W,0,103.0,129.0,108.0,129.0,137.0
167,28,28D,10,10H,0,0,0,0,0,0M,143.0,118.0,120.0,133.0,124.0,142.0,108.0,95.0,105.0,118.0,94.0,109.0,2,2W,0,78.0,97.0,103.0,107.0,132.0
168,28,28D,10,10H,0,0,0,0,20,20M,118.0,120.0,133.0,124.0,142.0,131.0,95.0,105.0,118.0,94.0,109.0,103.0,2,2W,0,116.0,73.0,95.0,105.0,122.0
169,28,28D,10,10H,0,0,0,0,40,40M,120.0,133.0,124.0,142.0,131.0,124.0,105.0,118.0,94.0,109.0,103.0,78.0,2,2W,0,93.0,79.0,86.0,79.0,96.0
170,28,28D,11,11H,0,0,0,0,0,0M,133.0,124.0,142.0,131.0,124.0,155.0,118.0,94.0,109.0,103.0,78.0,116.0,2,2W,0,91.0,89.0,103.0,65.0,98.0
171,28,28D,11,11H,0,0,0,0,20,20M,124.0,142.0,131.0,124.0,155.0,118.0,94.0,109.0,103.0,78.0,116.0,93.0,2,2W,0,77.0,97.0,54.0,92.0,89.0
172,28,28D,11,11H,0,0,0,0,40,40M,142.0,131.0,124.0,155.0,118.0,116.0,109.0,103.0,78.0,116.0,93.0,91.0,2,2W,0,91.0,89.0,70.0,88.0,77.0
173,28,28D,12,12H,0,0,0,0,0,0M,131.0,124.0,155.0,118.0,116.0,107.0,103.0,78.0,116.0,93.0,91.0,77.0,2,2W,0,87.0,89.0,82.0,84.0,79.0
174,28,28D,12,12H,0,0,0,0,20,20M,124.0,155.0,118.0,116.0,107.0,126.0,78.0,116.0,93.0,91.0,77.0,91.0,2,2W,0,75.0,74.0,65.0,92.0,78.0
175,28,28D,12,12H,0,0,0,0,40,40M,155.0,118.0,116.0,107.0,126.0,113.0,116.0,93.0,91.0,77.0,91.0,87.0,2,2W,0,96.0,88.0,89.0,115.0,84.0
176,28,28D,13,13H,0,0,0,0,0,0M,118.0,116.0,107.0,126.0,113.0,105.0,93.0,91.0,77.0,91.0,87.0,75.0,2,2W,0,96.0,80.0,96.0,97.0,96.0
177,28,28D,13,13H,0,0,0,0,20,20M,116.0,107.0,126.0,113.0,105.0,143.0,91.0,77.0,91.0,87.0,75.0,96.0,2,2W,0,88.0,74.0,71.0,90.0,90.0
178,28,28D,13,13H,0,0,0,0,40,40M,107.0,126.0,113.0,105.0,143.0,127.0,77.0,91.0,87.0,75.0,96.0,96.0,2,2W,0,93.0,89.0,92.0,107.0,87.0
179,28,28D,14,14H,0,0,0,0,0,0M,126.0,113.0,105.0,143.0,127.0,133.0,91.0,87.0,75.0,96.0,96.0,88.0,2,2W,0,75.0,113.0,110.0,109.0,87.0
180,28,28D,14,14H,0,0,0,0,20,20M,113.0,105.0,143.0,127.0,133.0,124.0,87.0,75.0,96.0,96.0,88.0,93.0,2,2W,0,83.0,101.0,105.0,127.0,105.0
181,28,28D,14,14H,0,0,0,0,40,40M,105.0,143.0,127.0,133.0,124.0,90.0,75.0,96.0,96.0,88.0,93.0,75.0,2,2W,0,114.0,89.0,96.0,108.0,104.0
182,28,28D,15,15H,0,0,0,0,0,0M,143.0,127.0,133.0,124.0,90.0,112.0,96.0,96.0,88.0,93.0,75.0,83.0,2,2W,0,90.0,93.0,100.0,115.0,93.0
183,28,28D,15,15H,0,0,0,0,20,20M,127.0,133.0,124.0,90.0,112.0,152.0,96.0,88.0,93.0,75.0,83.0,114.0,2,2W,0,97.0,105.0,109.0,125.0,103.0
184,28,28D,15,15H,0,0,0,0,40,40M,133.0,124.0,90.0,112.0,152.0,113.0,88.0,93.0,75.0,83.0,114.0,90.0,2,2W,0,83.0,117.0,86.0,98.0,98.0
185,28,28D,16,16H,0,0,0,0,0,0M,124.0,90.0,112.0,152.0,113.0,119.0,93.0,75.0,83.0,114.0,90.0,97.0,2,2W,0,100.0,96.0,105.0,113.0,96.0
186,28,28D,16,16H,0,0,0,0,20,20M,90.0,112.0,152.0,113.0,119.0,103.0,75.0,83.0,114.0,90.0,97.0,83.0,2,2W,0,65.0,112.0,113.0,114.0,90.0
187,28,28D,16,16H,0,0,0,0,40,40M,112.0,152.0,113.0,119.0,103.0,127.0,83.0,114.0,90.0,97.0,83.0,100.0,2,2W,0,78.0,79.0,86.0,110.0,105.0
188,28,28D,17,17H,0,0,0,1,0,0M,152.0,113.0,119.0,103.0,127.0,88.0,114.0,90.0,97.0,83.0,100.0,65.0,2,2W,0,86.0,97.0,108.0,112.0,97.0
189,28,28D,17,17H,0,0,0,1,20,20M,113.0,119.0,103.0,127.0,88.0,94.0,90.0,97.0,83.0,100.0,65.0,78.0,2,2W,0,113.0,119.0,120.0,113.0,98.0
190,28,28D,17,17H,0,0,0,1,40,40M,119.0,103.0,127.0,88.0,94.0,99.0,97.0,83.0,100.0,65.0,78.0,86.0,2,2W,0,112.0,94.0,105.0,113.0,94.0
191,28,28D,18,18H,0,1,0,0,0,0M,103.0,127.0,88.0,94.0,99.0,143.0,83.0,100.0,65.0,78.0,86.0,113.0,2,2W,0,80.0,142.0,104.0,105.0,109.0
192,28,28D,18,18H,0,1,0,0,20,20M,127.0,88.0,94.0,99.0,143.0,140.0,100.0,65.0,78.0,86.0,113.0,112.0,2,2W,0,69.0,110.0,84.0,141.0,94.0
193,28,28D,18,18H,0,1,0,0,40,40M,88.0,94.0,99.0,143.0,140.0,103.0,65.0,78.0,86.0,113.0,112.0,80.0,2,2W,0,64.0,76.0,69.0,93.0,74.0
194,28,28D,19,19H,0,0,0,0,0,0M,94.0,99.0,143.0,140.0,103.0,81.0,78.0,86.0,113.0,112.0,80.0,69.0,2,2W,0,39.0,85.0,61.0,96.0,85.0
195,28,28D,19,19H,0,0,0,0,20,20M,99.0,143.0,140.0,103.0,81.0,79.0,86.0,113.0,112.0,80.0,69.0,64.0,2,2W,0,39.0,64.0,62.0,108.0,78.0
196,28,28D,19,19H,0,0,0,0,40,40M,143.0,140.0,103.0,81.0,79.0,53.0,113.0,112.0,80.0,69.0,64.0,39.0,2,2W,0,40.0,45.0,51.0,53.0,46.0
197,28,28D,20,20H,0,0,0,0,0,0M,140.0,103.0,81.0,79.0,53.0,58.0,112.0,80.0,69.0,64.0,39.0,39.0,2,2W,0,30.0,50.0,52.0,61.0,40.0
198,28,28D,20,20H,0,0,0,0,20,20M,103.0,81.0,79.0,53.0,58.0,47.0,80.0,69.0,64.0,39.0,39.0,40.0,2,2W,0,35.0,31.0,62.0,56.0,49.0
199,28,28D,20,20H,0,0,0,0,40,40M,81.0,79.0,53.0,58.0,47.0,45.0,69.0,64.0,39.0,39.0,40.0,30.0,2,2W,0,35.0,45.0,53.0,34.0,43.0
200,28,28D,21,21H,0,0,0,0,0,0M,79.0,53.0,58.0,47.0,45.0,58.0,64.0,39.0,39.0,40.0,30.0,35.0,2,2W,0,17.0,36.0,49.0,36.0,47.0
201,28,28D,21,21H,0,0,0,0,20,20M,53.0,58.0,47.0,45.0,58.0,42.0,39.0,39.0,40.0,30.0,35.0,35.0,2,2W,0,31.0,45.0,44.0,47.0,26.0
202,28,28D,21,21H,0,0,0,0,40,40M,58.0,47.0,45.0,58.0,42.0,24.0,39.0,40.0,30.0,35.0,35.0,17.0,2,2W,0,18.0,22.0,33.0,36.0,29.0
203,28,28D,22,22H,0,0,0,0,0,0M,47.0,45.0,58.0,42.0,24.0,34.0,40.0,30.0,35.0,35.0,17.0,31.0,2,2W,0,7.0,34.0,33.0,28.0,33.0
204,28,28D,22,22H,0,0,0,0,20,20M,45.0,58.0,42.0,24.0,34.0,24.0,30.0,35.0,35.0,17.0,31.0,18.0,2,2W,0,22.0,29.0,33.0,46.0,28.0
205,28,28D,22,22H,0,0,0,0,40,40M,58.0,42.0,24.0,34.0,24.0,7.0,35.0,35.0,17.0,31.0,18.0,7.0,2,2W,0,9.0,19.0,10.0,20.0,26.0
206,28,28D,23,23H,0,0,0,0,0,0M,42.0,24.0,34.0,24.0,7.0,29.0,35.0,17.0,31.0,18.0,7.0,22.0,2,2W,0,6.0,16.0,17.0,31.0,23.0
207,28,28D,23,23H,0,0,0,0,20,20M,24.0,34.0,24.0,7.0,29.0,15.0,17.0,31.0,18.0,7.0,22.0,9.0,2,2W,0,12.0,19.0,17.0,17.0,25.0
208,28,28D,23,23H,0,0,0,0,40,40M,34.0,24.0,7.0,29.0,15.0,8.0,31.0,18.0,7.0,22.0,9.0,6.0,2,2W,0,17.0,11.0,17.0,12.0,13.0
209,29,29D,0,0H,0,0,0,0,0,0M,24.0,7.0,29.0,15.0,8.0,16.0,18.0,7.0,22.0,9.0,6.0,12.0,3,3W,0,117.0,17.0,21.0,15.0,21.0
210,29,29D,0,0H,0,0,0,0,20,20M,7.0,29.0,15.0,8.0,16.0,27.0,7.0,22.0,9.0,6.0,12.0,17.0,3,3W,0,79.0,22.0,15.0,20.0,14.0
211,29,29D,0,0H,0,0,0,0,40,40M,29.0,15.0,8.0,16.0,27.0,158.0,22.0,9.0,6.0,12.0,17.0,117.0,3,3W,0,51.0,130.0,113.0,117.0,110.0
212,29,29D,1,1H,0,0,0,0,0,0M,15.0,8.0,16.0,27.0,158.0,101.0,9.0,6.0,12.0,17.0,117.0,79.0,3,3W,0,12.0,47.0,47.0,118.0,74.0
213,29,29D,1,1H,0,0,0,0,20,20M,8.0,16.0,27.0,158.0,101.0,77.0,6.0,12.0,17.0,117.0,79.0,51.0,3,3W,0,13.0,33.0,43.0,61.0,49.0
214,29,29D,1,1H,0,0,0,0,40,40M,16.0,27.0,158.0,101.0,77.0,18.0,12.0,17.0,117.0,79.0,51.0,12.0,3,3W,0,9.0,5.0,3.0,10.0,6.0
215,29,29D,2,2H,0,0,0,0,0,0M,27.0,158.0,101.0,77.0,18.0,26.0,17.0,117.0,79.0,51.0,12.0,13.0,3,3W,0,6.0,6.0,12.0,4.0,9.0
216,29,29D,2,2H,0,0,0,0,20,20M,158.0,101.0,77.0,18.0,26.0,19.0,117.0,79.0,51.0,12.0,13.0,9.0,3,3W,0,13.0,9.0,7.0,8.0,10.0
217,29,29D,2,2H,0,0,0,0,40,40M,101.0,77.0,18.0,26.0,19.0,7.0,79.0,51.0,12.0,13.0,9.0,6.0,3,3W,0,6.0,7.0,8.0,9.0,11.0
218,29,29D,3,3H,0,0,0,0,0,0M,77.0,18.0,26.0,19.0,7.0,19.0,51.0,12.0,13.0,9.0,6.0,13.0,3,3W,0,9.0,10.0,4.0,8.0,8.0
219,29,29D,3,3H,0,0,0,0,20,20M,18.0,26.0,19.0,7.0,19.0,12.0,12.0,13.0,9.0,6.0,13.0,6.0,3,3W,0,19.0,14.0,9.0,10.0,4.0
220,29,29D,3,3H,0,0,0,0,40,40M,26.0,19.0,7.0,19.0,12.0,15.0,13.0,9.0,6.0,13.0,6.0,9.0,3,3W,0,12.0,5.0,11.0,6.0,9.0
221,29,29D,4,4H,0,0,0,0,0,0M,19.0,7.0,19.0,12.0,15.0,28.0,9.0,6.0,13.0,6.0,9.0,19.0,3,3W,0,13.0,12.0,13.0,23.0,15.0
222,29,29D,4,4H,0,0,0,0,20,20M,7.0,19.0,12.0,15.0,28.0,17.0,6.0,13.0,6.0,9.0,19.0,12.0,3,3W,0,21.0,19.0,16.0,15.0,13.0
223,29,29D,4,4H,0,0,0,0,40,40M,19.0,12.0,15.0,28.0,17.0,18.0,13.0,6.0,9.0,19.0,12.0,13.0,3,3W,0,18.0,21.0,15.0,16.0,21.0
224,29,29D,5,5H,0,0,0,0,0,0M,12.0,15.0,28.0,17.0,18.0,36.0,6.0,9.0,19.0,12.0,13.0,21.0,3,3W,0,25.0,17.0,21.0,16.0,12.0
225,29,29D,5,5H,0,0,0,0,20,20M,15.0,28.0,17.0,18.0,36.0,34.0,9.0,19.0,12.0,13.0,21.0,18.0,3,3W,0,28.0,15.0,23.0,25.0,22.0
226,29,29D,5,5H,0,0,0,0,40,40M,28.0,17.0,18.0,36.0,34.0,46.0,19.0,12.0,13.0,21.0,18.0,25.0,3,3W,0,28.0,31.0,21.0,29.0,27.0
227,29,29D,6,6H,0,0,0,0,0,0M,17.0,18.0,36.0,34.0,46.0,50.0,12.0,13.0,21.0,18.0,25.0,28.0,3,3W,0,32.0,31.0,37.0,38.0,27.0
228,29,29D,6,6H,0,0,0,0,20,20M,18.0,36.0,34.0,46.0,50.0,46.0,13.0,21.0,18.0,25.0,28.0,28.0,3,3W,0,36.0,31.0,42.0,30.0,39.0
229,29,29D,6,6H,0,0,0,0,40,40M,36.0,34.0,46.0,50.0,46.0,57.0,21.0,18.0,25.0,28.0,28.0,32.0,3,3W,0,54.0,35.0,31.0,37.0,42.0
230,29,29D,7,7H,0,0,0,0,0,0M,34.0,46.0,50.0,46.0,57.0,62.0,18.0,25.0,28.0,28.0,32.0,36.0,3,3W,0,48.0,62.0,61.0,58.0,61.0
231,29,29D,7,7H,0,0,0,0,20,20M,46.0,50.0,46.0,57.0,62.0,78.0,25.0,28.0,28.0,32.0,36.0,54.0,3,3W,0,58.0,52.0,66.0,63.0,60.0
232,29,29D,7,7H,0,0,0,0,40,40M,50.0,46.0,57.0,62.0,78.0,73.0,28.0,28.0,32.0,36.0,54.0,48.0,3,3W,0,83.0,79.0,91.0,74.0,79.0
233,29,29D,8,8H,1,0,0,0,0,0M,46.0,57.0,62.0,78.0,73.0,79.0,28.0,32.0,36.0,54.0,48.0,58.0,3,3W,0,97.0,69.0,120.0,74.0,96.0
234,29,29D,8,8H,1,0,0,0,20,20M,57.0,62.0,78.0,73.0,79.0,116.0,32.0,36.0,54.0,48.0,58.0,83.0,3,3W,0,102.0,108.0,116.0,106.0,100.0
235,29,29D,8,8H,1,0,0,0,40,40M,62.0,78.0,73.0,79.0,116.0,138.0,36.0,54.0,48.0,58.0,83.0,97.0,3,3W,0,122.0,95.0,125.0,95.0,106.0
236,29,29D,9,9H,0,0,1,0,0,0M,78.0,73.0,79.0,116.0,138.0,119.0,54.0,48.0,58.0,83.0,97.0,102.0,3,3W,0,97.0,105.0,91.0,101.0,98.0
237,29,29D,9,9H,0,0,1,0,20,20M,73.0,79.0,116.0,138.0,119.0,156.0,48.0,58.0,83.0,97.0,102.0,122.0,3,3W,0,113.0,118.0,116.0,102.0,111.0
238,29,29D,9,9H,0,0,1,0,40,40M,79.0,116.0,138.0,119.0,156.0,127.0,58.0,83.0,97.0,102.0,122.0,97.0,3,3W,0,83.0,94.0,120.0,82.0,123.0
239,29,29D,10,10H,0,0,0,0,0,0M,116.0,138.0,119.0,156.0,127.0,165.0,83.0,97.0,102.0,122.0,97.0,113.0,3,3W,0,101.0,109.0,130.0,86.0,107.0
240,29,29D,10,10H,0,0,0,0,20,20M,138.0,119.0,156.0,127.0,165.0,103.0,97.0,102.0,122.0,97.0,113.0,83.0,3,3W,0,98.0,103.0,102.0,78.0,110.0
241,29,29D,10,10H,0,0,0,0,40,40M,119.0,156.0,127.0,165.0,103.0,144.0,102.0,122.0,97.0,113.0,83.0,101.0,3,3W,0,114.0,78.0,89.0,83.0,98.0
242,29,29D,11,11H,0,0,0,0,0,0M,156.0,127.0,165.0,103.0,144.0,126.0,122.0,97.0,113.0,83.0,101.0,98.0,3,3W,0,71.0,116.0,105.0,86.0,106.0
243,29,29D,11,11H,0,0,0,0,20,20M,127.0,165.0,103.0,144.0,126.0,142.0,97.0,113.0,83.0,101.0,98.0,114.0,3,3W,0,72.0,93.0,82.0,79.0,85.0
244,29,29D,11,11H,0,0,0,0,40,40M,165.0,103.0,144.0,126.0,142.0,82.0,113.0,83.0,101.0,98.0,114.0,71.0,3,3W,0,83.0,91.0,78.0,75.0,76.0
245,29,29D,12,12H,0,0,0,0,0,0M,103.0,144.0,126.0,142.0,82.0,103.0,83.0,101.0,98.0,114.0,71.0,72.0,3,3W,0,100.0,77.0,81.0,89.0,85.0
246,29,29D,12,12H,0,0,0,0,20,20M,144.0,126.0,142.0,82.0,103.0,135.0,101.0,98.0,114.0,71.0,72.0,83.0,3,3W,0,83.0,91.0,72.0,91.0,84.0
247,29,29D,12,12H,0,0,0,0,40,40M,126.0,142.0,82.0,103.0,135.0,134.0,98.0,114.0,71.0,72.0,83.0,100.0,3,3W,0,93.0,87.0,71.0,110.0,105.0
248,29,29D,13,13H,0,0,0,0,0,0M,142.0,82.0,103.0,135.0,134.0,100.0,114.0,71.0,72.0,83.0,100.0,83.0,3,3W,0,74.0,75.0,89.0,107.0,91.0
249,29,29D,13,13H,0,0,0,0,20,20M,82.0,103.0,135.0,134.0,100.0,129.0,71.0,72.0,83.0,100.0,83.0,93.0,3,3W,0,83.0,96.0,82.0,92.0,98.0
250,29,29D,13,13H,0,0,0,0,40,40M,103.0,135.0,134.0,100.0,129.0,98.0,72.0,83.0,100.0,83.0,93.0,74.0,3,3W,0,77.0,96.0,87.0,90.0,96.0
251,29,29D,14,14H,0,0,0,0,0,0M,135.0,134.0,100.0,129.0,98.0,127.0,83.0,100.0,83.0,93.0,74.0,83.0,3,3W,0,78.0,88.0,92.0,117.0,103.0
252,29,29D,14,14H,0,0,0,0,20,20M,134.0,100.0,129.0,98.0,127.0,102.0,100.0,83.0,93.0,74.0,83.0,77.0,3,3W,0,66.0,93.0,93.0,104.0,120.0
253,29,29D,14,14H,0,0,0,0,40,40M,100.0,129.0,98.0,127.0,102.0,114.0,83.0,93.0,74.0,83.0,77.0,78.0,3,3W,0,91.0,75.0,92.0,88.0,73.0
254,29,29D,15,15H,0,0,0,0,0,0M,129.0,98.0,127.0,102.0,114.0,77.0,93.0,74.0,83.0,77.0,78.0,66.0,3,3W,0,78.0,83.0,108.0,87.0,90.0
255,29,29D,15,15H,0,0,0,0,20,20M,98.0,127.0,102.0,114.0,77.0,119.0,74.0,83.0,77.0,78.0,66.0,91.0,3,3W,0,53.0,114.0,87.0,102.0,90.0
256,29,29D,15,15H,0,0,0,0,40,40M,127.0,102.0,114.0,77.0,119.0,87.0,83.0,77.0,78.0,66.0,91.0,78.0,3,3W,0,94.0,90.0,92.0,95.0,90.0
257,29,29D,16,16H,0,0,0,0,0,0M,102.0,114.0,77.0,119.0,87.0,62.0,77.0,78.0,66.0,91.0,78.0,53.0,3,3W,0,67.0,97.0,108.0,110.0,115.0
258,29,29D,16,16H,0,0,0,0,20,20M,114.0,77.0,119.0,87.0,62.0,114.0,78.0,66.0,91.0,78.0,53.0,94.0,3,3W,0,103.0,83.0,83.0,104.0,89.0
259,29,29D,16,16H,0,0,0,0,40,40M,77.0,119.0,87.0,62.0,114.0,87.0,66.0,91.0,78.0,53.0,94.0,67.0,3,3W,0,81.0,100.0,106.0,93.0,102.0
260,29,29D,17,17H,0,0,0,1,0,0M,119.0,87.0,62.0,114.0,87.0,126.0,91.0,78.0,53.0,94.0,67.0,103.0,3,3W,0,94.0,65.0,112.0,84.0,104.0
261,29,29D,17,17H,0,0,0,1,20,20M,87.0,62.0,114.0,87.0,126.0,108.0,78.0,53.0,94.0,67.0,103.0,81.0,3,3W,0,91.0,78.0,103.0,90.0,113.0
262,29,29D,17,17H,0,0,0,1,40,40M,62.0,114.0,87.0,126.0,108.0,115.0,53.0,94.0,67.0,103.0,81.0,94.0,3,3W,0,130.0,86.0,106.0,94.0,114.0
263,29,29D,18,18H,0,1,0,0,0,0M,114.0,87.0,126.0,108.0,115.0,112.0,94.0,67.0,103.0,81.0,94.0,91.0,3,3W,0,77.0,113.0,112.0,85.0,102.0
264,29,29D,18,18H,0,1,0,0,20,20M,87.0,126.0,108.0,115.0,112.0,171.0,67.0,103.0,81.0,94.0,91.0,130.0,3,3W,0,70.0,112.0,102.0,105.0,113.0
265,29,29D,18,18H,0,1,0,0,40,40M,126.0,108.0,115.0,112.0,171.0,91.0,103.0,81.0,94.0,91.0,130.0,77.0,3,3W,0,87.0,80.0,74.0,78.0,81.0
266,29,29D,19,19H,0,0,0,0,0,0M,108.0,115.0,112.0,171.0,91.0,82.0,81.0,94.0,91.0,130.0,77.0,70.0,3,3W,0,49.0,69.0,85.0,75.0,83.0
267,29,29D,19,19H,0,0,0,0,20,20M,115.0,112.0,171.0,91.0,82.0,95.0,94.0,91.0,130.0,77.0,70.0,87.0,3,3W,0,52.0,64.0,54.0,59.0,88.0
268,29,29D,19,19H,0,0,0,0,40,40M,112.0,171.0,91.0,82.0,95.0,51.0,91.0,130.0,77.0,70.0,87.0,49.0,3,3W,0,35.0,39.0,50.0,50.0,41.0
269,29,29D,20,20H,0,0,0,0,0,0M,171.0,91.0,82.0,95.0,51.0,73.0,130.0,77.0,70.0,87.0,49.0,52.0,3,3W,0,46.0,39.0,55.0,46.0,47.0
270,29,29D,20,20H,0,0,0,0,20,20M,91.0,82.0,95.0,51.0,73.0,37.0,77.0,70.0,87.0,49.0,52.0,35.0,3,3W,0,33.0,40.0,47.0,51.0,43.0
271,29,29D,20,20H,0,0,0,0,40,40M,82.0,95.0,51.0,73.0,37.0,56.0,70.0,87.0,49.0,52.0,35.0,46.0,3,3W,0,37.0,30.0,33.0,42.0,34.0
272,29,29D,21,21H,0,0,0,0,0,0M,95.0,51.0,73.0,37.0,56.0,39.0,87.0,49.0,52.0,35.0,46.0,33.0,3,3W,0,28.0,35.0,38.0,30.0,22.0
273,29,29D,21,21H,0,0,0,0,20,20M,51.0,73.0,37.0,56.0,39.0,49.0,49.0,52.0,35.0,46.0,33.0,37.0,3,3W,0,32.0,35.0,32.0,51.0,29.0
274,29,29D,21,21H,0,0,0,0,40,40M,73.0,37.0,56.0,39.0,49.0,39.0,52.0,35.0,46.0,33.0,37.0,28.0,3,3W,0,31.0,17.0,33.0,26.0,29.0
275,29,29D,22,22H,0,0,0,0,0,0M,37.0,56.0,39.0,49.0,39.0,40.0,35.0,46.0,33.0,37.0,28.0,32.0,3,3W,0,21.0,31.0,32.0,27.0,20.0
276,29,29D,22,22H,0,0,0,0,20,20M,56.0,39.0,49.0,39.0,40.0,35.0,46.0,33.0,37.0,28.0,32.0,31.0,3,3W,0,35.0,18.0,26.0,33.0,24.0
277,29,29D,22,22H,0,0,0,0,40,40M,39.0,49.0,39.0,40.0,35.0,29.0,33.0,37.0,28.0,32.0,31.0,21.0,3,3W,0,25.0,7.0,9.0,21.0,15.0
278,29,29D,23,23H,0,0,0,0,0,0M,49.0,39.0,40.0,35.0,29.0,55.0,37.0,28.0,32.0,31.0,21.0,35.0,3,3W,0,9.0,22.0,28.0,20.0,26.0
279,29,29D,23,23H,0,0,0,0,20,20M,39.0,40.0,35.0,29.0,55.0,33.0,28.0,32.0,31.0,21.0,35.0,25.0,3,3W,0,11.0,9.0,14.0,23.0,23.0
280,29,29D,23,23H,0,0,0,0,40,40M,40.0,35.0,29.0,55.0,33.0,10.0,32.0,31.0,21.0,35.0,25.0,9.0,3,3W,0,12.0,6.0,16.0,17.0,18.0
281,30,30D,0,0H,0,0,0,0,0,0M,35.0,29.0,55.0,33.0,10.0,18.0,31.0,21.0,35.0,25.0,9.0,11.0,4,4W,0,233.0,12.0,14.0,16.0,13.0
282,30,30D,0,0H,0,0,0,0,20,20M,29.0,55.0,33.0,10.0,18.0,21.0,21.0,35.0,25.0,9.0,11.0,12.0,4,4W,0,212.0,17.0,20.0,12.0,13.0
283,30,30D,0,0H,0,0,0,0,40,40M,55.0,33.0,10.0,18.0,21.0,284.0,35.0,25.0,9.0,11.0,12.0,233.0,4,4W,0,165.0,117.0,128.0,98.0,101.0
284,30,30D,1,1H,0,0,0,0,0,0M,33.0,10.0,18.0,21.0,284.0,233.0,25.0,9.0,11.0,12.0,233.0,212.0,4,4W,0,10.0,79.0,78.0,52.0,82.0
285,30,30D,1,1H,0,0,0,0,20,20M,10.0,18.0,21.0,284.0,233.0,184.0,9.0,11.0,12.0,233.0,212.0,165.0,4,4W,0,6.0,51.0,40.0,27.0,46.0
286,30,30D,1,1H,0,0,0,0,40,40M,18.0,21.0,284.0,233.0,184.0,12.0,11.0,12.0,233.0,212.0,165.0,10.0,4,4W,0,6.0,12.0,6.0,14.0,6.0
287,30,30D,2,2H,0,0,0,0,0,0M,21.0,284.0,233.0,184.0,12.0,9.0,12.0,233.0,212.0,165.0,10.0,6.0,4,4W,0,9.0,13.0,9.0,6.0,10.0
288,30,30D,2,2H,0,0,0,0,20,20M,284.0,233.0,184.0,12.0,9.0,12.0,233.0,212.0,165.0,10.0,6.0,6.0,4,4W,0,9.0,9.0,10.0,10.0,8.0
289,30,30D,2,2H,0,0,0,0,40,40M,233.0,184.0,12.0,9.0,12.0,19.0,212.0,165.0,10.0,6.0,6.0,9.0,4,4W,0,4.0,6.0,12.0,16.0,5.0
